03848P,國泰金元大03售02
065055,臺股指凱基02購04
066714,台灣50元大01購22
074106,南電兆豐04購02
074153,滬深2X凱基05購03
074260,台積電元富08購30
078622,岱宇群益06購01
065252,玉晶光永豐9C購08
066088,漢翔永豐01購01
066557,京鼎元大01購01
067595,國巨凱基02購04
068585,美律台新01購02
069219,華新群益04購01
069415,欣興統一04購04
073278,華晶科永豐04購01
075387,華碩永豐05購01
075890,欣興凱基06購02
04141P,彩晶國票03售02
067560,聯詠國票02購01
070438,聯發科凱基03購10
076748,大立光凱基05購11
077170,科嘉元大06購01
2020,美亞
063546,國巨兆豐9C購03
068170,臺股指元大01購23
079569,聯電國票07購06
065366,英業達元大9C購02
067222,申豐元大01購01
078132,國巨群益06購01
069911,美利達元大02購03
072541,祥碩元大03購03
074056,日月光元大05購01
075433,友達凱基07購02
077335,國巨中信05購01
077564,台積電元大05購32
079083,上銀群益06購01
069953,微星永豐02購01
071110,中工國票05購01
074204,貿聯兆豐04購02
076397,海悅永豐05購02
076580,聯發科第一05購01
078705,勝一永豐06購01
04041P,國喬國票03售02
03259P,聯發科康和02售01
04288P,台灣50群益04售04
069600,景碩國票03購01
073032,新日興統一04購01
075225,儒鴻國票06購01
077023,亞光凱基05購02
077179,台積電富邦08購05
078382,臺股指元大06購09
071931,美律國泰05購01
051795,T50反1台新05購02
060495,台灣50元大01購13
063465,友達元大9C購10
064416,南亞科中信01購01
070286,玉晶光凱基02購10
072340,世紀鋼兆豐04購02
08594P,台積電群益01售05
00737,國泰AI+ROBO
03431P,聯詠元大02售06
04040P,台灣50國票03售07
05159P,世芯元大06售03
071428,旺宏元大03購04
072091,臺股指國票03購15
072540,祥碩元大03購02
076826,金像電永豐05購02
079287,友達統一07購01
03586P,玉晶光元大02售11
066469,申豐統一02購02
072453,可成元大03購05
077515,南電群益05購08
00753L,中信中國50正2
066612,台積電麥證01購04
072086,大立光國票04購02
075870,鴻海麥證05購01
065167,華通元大02購01
070120,京鼎元大02購03
077296,南電元富05購05
077834,鴻海元大06購06
064242,TPK統一02購01
065247,聯發科麥證9C購02
072030,味全元大06購01
073455,宏全凱基04購01
079640,長榮兆豐06購02
00732,國泰RMB短期報酬
065495,上銀富邦01購02
066496,大立光國泰03購01
075989,健策群益05購01
020003,統一漲升股利150N
2891B,中信金乙特
04075P,南亞科元富09售02
065973,嘉晶元大01購03
068515,聯發科統一03購10
071652,義隆國票04購02
2597,潤弘
3026,禾伸堂
07270P,台灣50元大01售09
072915,滬深2X元大04購06
075667,大立光國票07購01
03311P,欣興凱基02售05
074718,香港2X國票04購01
079121,上緯控凱基06購04
08546P,可成中信9C售02
08616P,聯發科元富9C售02
9943,好樂迪
071326,長榮航統一03購01
073119,元黃金元大07購01
068557,道瓊銀元大03購02
074396,康控國票05購01
076783,富邦金元富05購01
077160,國巨元大05購15
070843,金寶永豐03購01
072206,大立光元大03購05
072765,上緯控國泰05購01
076423,仁寶元富05購01
076750,台表科凱基05購03
03902P,玉晶光國泰05售01
071800,新光金國票06購01
062151,世紀鋼國票01購01
068116,欣興元富07購01
070802,奇鋐國票03購04
03144P,台積電國票01售09
064228,同欣電國票01購01
064693,玉晶光群益01購06
069783,國巨麥證02購01
071412,鴻海群益03購06
075188,華邦電元大05購06
075527,台積電國票07購02
077866,華新永豐06購01
04803P,臺股指國票06售14
065852,創意元大9C購06
066432,南六元大01購02
075748,華擎永豐05購01
077646,大亞統一08購01
05156P,臺股指凱基07售02
065639,臺指反元大03購04
067168,國巨麥證01購05
068318,中興電元大01購01
076332,訊芯元大05購01
078546,恆大永豐06購01
079534,群創元大06購08
058054,台積電統一9C購01
064224,玉晶光國票01購04
064793,新光金國票01購02
066017,南六元富03購01
066573,瑞祺元大01購02
067457,FBVIX國泰03購01
075170,京鼎統一05購01
077188,漢唐永豐05購02
04767P,台積電麥證05售05
05231P,立積群益06售03
074998,友達群益05購01
078222,友達永豐06購01
03382P,帆宣康和02售01
064191,聯發科中信03購01
067124,華擎富邦03購01
071368,微星群益04購01
078117,強茂元富09購01
3432,台端
063831,帆宣國票01購01
072699,可成群益03購07
077721,玉晶光元大09購01
077768,宏達電群益07購01
077931,群創群益06購01
4960,誠美材
05089P,萬海群益05售04
064462,致伸統一02購01
066992,緯穎群益01購02
075210,台積電凱基05購06
077664,南電元富06購02
072761,金像電國泰05購03
075563,聯發科元大05購04
078544,彩晶富邦06購02
064231,鴻海統一01購03
071130,群創統一03購02
076758,FBVIX元大05購04
079457,萬海元富07購02
067153,聯鈞統一03購02
069048,台積電元富08購14
070569,長興永豐02購02
072196,松翰群益03購02
074005,聯發科凱基04購10
